onset	duration	trial	trial_type	target_s	response_time	hit	total_gain	iti
12.0001	10	1	-$0	0.25	0.21721	1	$0.00	6
26.0009	10	2	-$1	0.25	0.22994	1	$0.00	6
40.0009	6	3	+$0	0.25	0.22072	1	$0.00	2
50.0008	8	4	+$5	0.25	-1	0	$0.00	4
62.0008	10	5	+$0	0.25	0.24611	1	$0.00	6
76.0008	8	6	+$0	0.25	0.21182	1	$0.00	4
88.0008	10	7	-$5	0.25	-1	0	$-5.00	6
102.0008	6	8	-$1	0.25	0.21277	1	$-5.00	2
112.0008	10	9	+$1	0.25	0.22062	1	$-4.00	6
126.0008	8	10	-$0	0.25	0.21347	1	$-4.00	4
138.0008	10	11	+$1	0.25	0.21632	1	$-3.00	6
152.0008	6	12	+$5	0.25	0.21717	1	$2.00	2
162.0008	8	13	-$5	0.25	0.20268	1	$2.00	4
174.0008	8	14	+$0	0.23	-1	0	$2.00	4
186.0008	10	15	-$1	0.25	0.21113	1	$2.00	6
200.0008	6	16	-$0	0.25	-1	0	$2.00	2
210.0007	8	17	-$1	0.23	0.21488	1	$2.00	4
222.0008	10	18	+$5	0.25	0.19043	1	$7.00	6
236.0008	6	19	-$5	0.25	0.23436	1	$7.00	2
246.0007	8	20	+$5	0.23	0.20364	1	$12.00	4
258.0008	6	21	+$1	0.25	0.19829	1	$13.00	2
268.0008	8	22	-$5	0.23	0.19748	1	$13.00	4
280.0008	10	23	-$1	0.21	-1	0	$12.00	6
294.0007	6	24	-$0	0.23	0.21442	1	$12.00	2
304.0007	6	25	+$1	0.23	0.2059	1	$13.00	2
314.0007	10	26	+$5	0.21	-1	0	$13.00	6
328.0008	8	27	-$0	0.21	-1	0	$13.00	4
340.0007	10	28	+$0	0.21	-1	0	$13.00	6
354.0008	6	29	-$5	0.21	0.19952	1	$13.00	2
364.0007	10	30	+$1	0.21	-1	0	$13.00	6
378.0007	8	31	-$5	0.19	-1	0	$8.00	4
390.0007	10	32	-$0	0.23	0.21816	1	$8.00	6
404.0007	8	33	+$0	0.23	-1	0	$8.00	4
416.0007	6	34	-$1	0.19	-1	0	$7.00	2
426.0007	6	35	+$1	0.19	-1	0	$7.00	2
436.0007	8	36	-$0	0.21	-1	0	$7.00	4
448.0008	10	37	+$5	0.23	0.20537	1	$12.00	6
462.0008	6	38	+$0	0.25	0.21914	1	$12.00	2
472.0007	8	39	-$0	0.23	-1	0	$12.00	4
484.0007	10	40	+$0	0.27	0.22369	1	$12.00	6
498.0008	10	41	-$5	0.17	-1	0	$7.00	6
512.0008	8	42	-$1	0.17	-1	0	$6.00	4
524.0007	6	43	+$5	0.21	-1	0	$6.00	2
534.0007	8	44	-$1	0.19	-1	0	$5.00	4
546.0007	6	45	+$0	0.29	0.23552	1	$5.00	2
556.0007	10	46	-$5	0.19	-1	0	$0.00	6
570.0008	6	47	-$1	0.21	-1	0	$-1.00	2
580.0005	6	48	-$5	0.21	-1	0	$-6.00	2
590.0007	10	49	+$5	0.23	0.2006	1	$-1.00	6
604.0012	6	50	-$5	0.23	0.2051	1	$-1.00	2
614.0007	6	51	-$1	0.23	-1	0	$-2.00	2
624.0008	10	52	-$0	0.25	0.21347	1	$-2.00	6
638.0008	8	53	-$5	0.25	0.20172	1	$-2.00	4
650.0007	6	54	+$0	0.27	0.22321	1	$-2.00	2
660.0007	8	55	+$1	0.17	-1	0	$-2.00	4
672.0006	10	56	-$1	0.25	0.22634	1	$-2.00	6
686.0007	6	57	+$1	0.19	-1	0	$-2.00	2
696.0007	8	58	+$1	0.21	-1	0	$-2.00	4
708.0008	8	59	+$5	0.25	0.19825	1	$3.00	4
720.0008	10	60	+$1	0.23	0.20888	1	$4.00	6
734.0007	10	61	-$5	0.27	0.22731	1	$4.00	6
748.0007	6	62	+$5	0.23	0.21637	1	$9.00	2
758.0009	8	63	+$1	0.25	0.20295	1	$10.00	4
770.0007	8	64	+$1	0.27	0.20449	1	$11.00	4
782.0007	8	65	-$1	0.27	0.20665	1	$11.00	4
794.0007	6	66	-$0	0.27	0.23527	1	$11.00	2
804.0007	8	67	+$5	0.21	-1	0	$11.00	4
816.0007	10	68	+$0	0.25	-1	0	$11.00	6
830.0007	8	69	+$0	0.27	-1	0	$11.00	4
842.0007	10	70	-$0	0.29	0.20359	1	$11.00	6
856.0007	6	71	-$0	0.31	0.21608	1	$11.00	2
866.0007	6	72	+$5	0.23	0.20524	1	$16.00	2
